version,rarity,hp,attack,magic_attack,defense,magic_defense,agility
v1,L,5262,1137,829,574,831,148
v1,L,5369,620,757,1109,1087,148
v1,L,5628,756,659,1163,856,148
v1,L,4625,1249,656,750,1046,148
v1,L,5499,877,581,850,1169,148
v1,L,5335,1265,393,887,924,148
v1,L,5045,333,1479,588,1144,147
v1,L,5201,435,1471,929,595,147
v1,L,4522,699,1429,897,633,147
v1,L,4261,1133,1205,844,510,147
v1,L,5105,904,973,591,1019,147
v1,L,4869,608,949,1215,965,147
v1,L,5388,1007,892,589,855,147
v1,L,5758,555,827,950,1057,147
v1,L,5523,802,794,729,1084,147
v1,L,5334,759,792,1136,831,147
v1,L,5713,493,755,1202,1018,147
v1,L,5412,750,726,1008,1029,147
v1,L,4535,1528,476,928,772,147
v1,L,5660,1503,463,549,670,147
v1,L,5401,1346,230,1041,858,147
v1,L,4561,242,1578,899,1055,146
v1,L,4276,731,1485,758,766,146
v1,L,4264,662,1269,749,1188,146
v1,L,4713,832,1247,770,741,146
v1,L,4931,831,1085,780,861,146
v1,L,4787,681,1010,1177,853,146
v1,L,4704,1093,989,759,753,146
v1,L,5510,723,892,933,862,146
v1,L,5010,887,824,973,922,146
v1,L,5704,1104,812,755,517,146
v1,L,4839,916,744,803,1247,146
v1,L,5679,597,674,1149,1056,146
v1,L,4391,1198,657,1235,750,146
v1,L,5347,793,633,1095,1047,146
v1,L,4788,360,1518,783,982,145
v1,L,4830,746,1422,548,783,145
v1,L,5025,439,1404,595,1108,145
v1,L,5187,753,1178,799,701,145
v1,L,4812,907,1106,1030,532,145
v1,L,4248,1295,893,826,754,145
v1,L,5452,761,823,719,1151,145
v1,L,5625,657,808,802,1155,145
v1,L,5295,704,796,951,1113,145
v1,L,4398,1306,715,670,1077,145
v1,L,5233,1104,576,1009,827,145
v1,L,4962,1330,509,701,1037,145
v1,L,4709,671,1507,607,771,144
v1,L,4791,344,1493,856,970,144
v1,L,5749,282,1474,554,931,144
v1,L,4438,579,1385,699,1114,144
v1,L,4793,795,1302,560,893,144
v1,L,4907,676,1261,688,940,144
v1,L,4411,1071,1120,682,819,144
v1,L,5726,696,1106,912,519,144
v1,L,4982,631,902,1221,948,144
v1,L,5487,878,806,843,870,144
v1,L,5492,1125,580,914,767,144
v1,L,4615,1394,380,793,1206,144
v1,L,4301,740,1409,741,875,143
v1,L,4240,1058,1019,1131,617,143
v1,L,5488,1095,970,582,589,143
v1,L,4490,921,953,890,1029,143
v1,L,5188,795,900,1215,627,143
v1,L,5539,572,897,1203,795,143
v1,L,5382,540,881,1004,1137,143
v1,L,5499,1152,867,658,574,143
v1,L,4498,1232,842,967,663,143
v1,L,4415,1255,824,1028,634,143
v1,L,4992,770,792,976,1149,143
v1,L,5273,1029,723,1017,703,143
v1,L,5415,845,699,847,1103,143
v1,L,4375,1236,616,1117,888,143
v1,L,5559,1356,430,738,798,143
v1,L,5232,622,1377,673,717,142
v1,L,5065,702,1272,930,575,142
v1,L,4313,956,1125,598,1112,142
v1,L,5029,1234,912,724,552,142
v1,L,4984,562,840,1211,1150,142
v1,L,5239,870,789,917,956,142
v1,L,4853,1225,502,977,982,142
v1,L,5169,1287,453,1152,638,142
v1,L,5600,1453,306,1008,550,142
v1,L,5562,1491,265,1059,521,142
v1,L,4458,743,1379,900,686,141
v1,L,4918,358,1288,879,1168,141
v1,L,4340,887,1150,1179,584,141
v1,L,5291,751,818,1140,839,141
v1,L,4678,1221,802,734,888,141
v1,L,5491,785,799,942,920,141
v1,L,5302,871,747,1180,724,141
v1,L,5390,680,724,1101,1067,141
v1,L,4990,1477,678,562,723,141
v1,L,5588,961,601,696,1152,141
v1,L,4886,1200,569,978,908,141
v1,L,4888,1272,419,1190,807,141
v1,L,5428,491,1334,693,858,140
v1,L,4323,1126,1036,679,917,140
v1,L,4917,978,902,908,808,140
v1,L,4397,1540,861,536,683,140
v1,L,4307,1495,859,820,509,140
v1,L,4422,1544,807,546,733,140
v1,L,5249,807,725,982,1073,140
v1,L,4924,1269,689,601,1000,140
v1,L,5283,1186,670,844,732,140
v1,L,5466,830,620,1241,828,140
v1,L,5150,1092,294,1142,1168,140
v1,L,4968,1427,250,917,1064,140
v1,L,4734,794,1163,798,897,139
v1,L,4947,617,1143,1103,773,139
v1,L,5043,251,1114,1228,1166,139
v1,L,5371,318,1063,1150,1065,139
v1,L,4512,1226,922,677,851,139
v1,L,4969,840,908,857,1026,139
v1,L,5293,698,836,794,1240,139
v1,L,5654,564,818,950,1129,139
v1,L,5346,687,646,1080,1216,139
v1,L,5746,603,550,1175,1187,139
v1,L,5595,666,536,1179,1185,139
v1,L,5369,1368,474,590,968,139
v1,L,4834,1550,418,872,760,139
v1,L,4528,758,1583,702,546,138
v1,L,4659,323,1549,1011,845,138
v1,L,4218,677,1546,657,907,138
v1,L,4540,335,1475,968,1033,138
v1,L,5739,238,1189,1121,856,138
v1,L,4348,871,936,939,1158,138
v1,L,5683,807,802,768,976,138
v1,L,4959,937,801,1236,668,138
v1,L,5638,701,781,782,1164,138
v1,L,4755,1382,752,668,767,138
v1,L,4594,1085,748,1099,844,138
v1,L,5095,898,745,997,978,138
v1,L,5079,861,741,960,1081,138
v1,L,5020,1081,738,920,840,138
v1,L,5313,1525,685,560,501,138
v1,L,5086,1312,668,547,951,138
v1,L,5449,1290,488,995,619,138
v1,L,5607,859,464,1149,1040,138
v1,L,4398,1382,425,1041,1032,138
v1,L,4371,977,1302,759,655,137
v1,L,5169,798,1249,866,500,137
v1,L,5189,761,1232,553,881,137
v1,L,4396,1151,985,984,623,137
v1,L,4269,893,968,1219,841,137
v1,L,5079,1301,874,692,534,137
v1,L,5707,576,852,1143,851,137
v1,L,4323,1217,851,1186,553,137
v1,L,5103,721,837,1168,927,137
v1,L,5423,595,709,1063,1243,137
v1,L,5356,1227,698,710,741,137
v1,L,4668,1022,665,1221,898,137
v1,L,5455,922,653,1037,867,137
v1,L,5613,898,335,1232,1085,137
v1,L,5163,557,1548,551,738,136
v1,L,5415,597,1224,1033,541,136
v1,L,5331,276,1109,1231,1006,136
v1,L,5429,607,1102,577,1150,136
v1,L,5275,766,1071,769,849,136
v1,L,4410,1342,891,658,806,136
v1,L,4300,1574,878,534,670,136
v1,L,5611,848,729,885,945,136
v1,L,5051,784,644,1240,1069,136
v1,L,5753,832,607,723,1236,136
v1,L,4268,1573,528,1043,677,136
v1,L,4993,330,1222,1182,980,135
v1,L,4274,1440,886,683,716,135
v1,L,5727,331,883,1236,1060,135
v1,L,5611,638,874,1188,737,135
v1,L,5724,467,810,1191,1016,135
v1,L,5574,486,781,1162,1131,135
v1,L,5682,523,768,1154,1053,135
v1,L,5526,580,690,1205,1106,135
v1,L,5321,1161,679,786,809,135
v1,L,5467,1035,541,1182,720,135
v1,L,4624,1331,409,884,1186,135
v1,L,5007,1254,268,1227,971,135
v1,L,4791,939,1440,500,580,134
v1,L,5598,378,1426,798,719,134
v1,L,4285,1228,1145,821,509,134
v1,L,5705,562,1095,795,881,134
v1,L,4510,1595,883,507,566,134
v1,L,5596,675,866,922,972,134
v1,L,4825,695,853,1174,1077,134
v1,L,4941,846,838,1199,802,134
v1,L,4542,1398,815,852,583,134
v1,L,5691,1254,671,708,592,134
v1,L,4513,1449,416,1037,910,134
v1,L,5244,1169,393,1161,871,134
v1,L,4875,1558,376,959,717,134
v1,L,4497,950,1110,754,925,133
v1,L,5751,878,1025,661,644,133
v1,L,4830,763,1010,896,1034,133
v1,L,4680,1312,977,581,683,133
v1,L,5403,482,883,1098,1142,133
v1,L,5160,678,735,1211,1076,133
v1,L,5401,804,703,807,1231,133
v1,L,5380,606,614,1217,1241,133
v1,L,5022,1391,557,1082,507,133
v1,L,5367,1212,490,980,796,133
v1,L,5691,1332,420,1046,504,133
v1,L,5591,876,372,1186,1132,133
v1,L,5672,791,1229,636,543,132
v1,L,4722,1090,1208,521,713,132
v1,L,4425,1164,1095,611,820,132
v1,L,5690,290,1042,966,1188,132
v1,L,5312,1071,786,847,736,132
v1,L,5063,834,765,825,1246,132
v1,L,5476,932,738,962,810,132
v1,L,5367,856,737,1193,741,132
v1,L,4854,1116,701,859,1000,132
v1,L,4864,1386,678,912,589,132
v1,L,4894,924,610,1074,1170,132
v1,L,5115,972,588,1028,1073,132
v1,L,4538,559,1431,854,911,131
v1,L,4304,361,1376,1061,1176,131
v1,L,4497,695,1320,924,824,131
v1,L,4387,616,1185,1216,890,131
v1,L,4486,1137,986,970,630,131
v1,L,5337,717,907,719,1188,131
v1,L,4475,853,904,1152,976,131
v1,L,5433,758,737,1051,994,131
v1,L,5502,571,717,1080,1229,131
v1,L,4533,1341,590,791,1060,131
v1,L,4805,1504,410,616,1130,131
v1,L,5218,726,1337,713,626,130
v1,L,5337,536,1295,781,833,130
v1,L,4778,772,1195,800,886,130
v1,L,4439,1163,1131,576,804,130
v1,L,5325,602,995,1179,775,130
v1,L,5336,1196,835,710,619,130
v1,L,4277,1400,726,955,742,130
v1,L,4959,1469,686,516,815,130
v1,L,5643,630,672,1204,1020,130
v1,L,4963,873,502,1205,1239,130
v1,L,5541,1222,390,1092,738,130
v1,L,5169,1069,331,1207,1103,130
v1,L,5680,282,1540,672,794,129
v1,L,4943,445,1485,712,951,129
v1,L,5254,461,1432,942,626,129
v1,L,5023,402,1394,727,1090,129
v1,L,4897,473,1367,1186,628,129
v1,L,5453,324,1329,1000,816,129
v1,L,5726,242,1145,1002,1064,129
v1,L,4817,620,1121,1129,865,129
v1,L,5035,1185,948,664,665,129
v1,L,4728,1060,946,724,933,129
v1,L,4514,1096,899,791,984,129
v1,L,4839,839,844,1100,966,129
v1,L,4954,1136,802,993,654,129
v1,L,5172,829,753,1071,981,129
v1,L,4944,1547,703,701,504,129
v1,L,4786,821,670,1190,1175,129
v1,L,5029,1391,561,505,1086,129
v1,L,5665,656,491,1229,1209,129
v1,L,4453,1365,462,1013,1031,129
v1,L,5594,858,425,1119,1159,129
v1,L,5698,904,348,1218,1055,129
v1,L,4252,852,1424,671,830,128
v1,L,5256,433,1340,1103,638,128
v1,L,5677,556,1232,784,735,128
v1,L,5313,863,1203,736,559,128
v1,L,5045,733,1188,689,941,128
v1,L,5346,426,1177,1127,814,128
v1,L,5001,911,1164,766,666,128
v1,L,5487,745,1127,962,528,128
v1,L,4959,511,1096,1032,1088,128
v1,L,5488,410,1082,947,1085,128
v1,L,5243,688,1059,1070,715,128
v1,L,4466,1277,986,641,776,128
v1,L,4282,1135,954,770,984,128
v1,L,5577,791,879,854,882,128
v1,L,5262,843,874,892,926,128
v1,L,4634,1468,815,798,511,128
v1,L,5539,1000,813,577,973,128
v1,L,4968,1041,741,863,1003,128
v1,L,5698,878,734,1019,742,128
v1,L,5190,1528,715,526,576,128
v1,L,5289,1149,713,878,720,128
v1,L,4933,1545,527,684,784,128
v1,L,4756,1501,494,729,934,128
v1,L,4684,1225,362,1129,1151,128
v1,L,4319,823,1436,730,766,127
v1,L,4842,822,1263,533,963,127
v1,L,5093,393,1213,1159,901,127
v1,L,4297,900,1084,758,1142,127
v1,L,5375,703,1007,790,988,127
v1,L,5447,304,994,1185,1147,127
v1,L,4959,699,972,1194,838,127
v1,L,4272,1031,962,987,912,127
v1,L,4249,1174,950,949,774,127
v1,L,4941,1178,935,861,547,127
v1,L,5343,849,876,846,925,127
v1,L,5468,862,784,851,974,127
v1,L,4611,1163,757,1169,672,127
v1,L,4871,835,723,1226,1009,127
v1,L,4652,1576,716,670,620,127
v1,L,5632,677,650,1144,1058,127
v1,L,4316,1221,645,1000,1059,127
v1,L,5663,864,617,863,1105,127
v1,L,5471,1137,585,776,939,127
v1,L,5595,755,545,1129,1129,127
v1,L,4756,364,1520,991,836,126
v1,L,5586,384,1322,792,894,126
v1,L,4596,837,1250,907,706,126
v1,L,4581,1146,1163,667,636,126
v1,L,5735,541,986,846,1025,126
v1,L,4639,1597,749,516,707,126
v1,L,5557,689,711,1196,941,126
v1,L,4871,795,680,1161,1195,126
v1,L,4411,1585,653,579,906,126
v1,L,4295,1593,498,583,1167,126
v1,L,5321,1120,422,920,1126,126
v1,L,4944,1312,412,754,1211,126
v1,L,5475,1191,325,981,1029,126
v1,L,5316,1520,258,819,892,126
v1,L,4780,613,1557,680,730,125
v1,L,4431,947,1476,546,668,125
v1,L,5506,449,1444,674,786,125
v1,L,5368,220,1311,1087,955,125
v1,L,4829,415,1267,1055,1028,125
v1,L,4622,927,1212,980,549,125
v1,L,5109,1102,1027,657,655,125
v1,L,5511,655,1024,614,1149,125
v1,L,5485,574,995,866,1067,125
v1,L,5629,686,890,654,1200,125
v1,L,4870,596,869,1166,1208,125
v1,L,4840,804,852,1124,991,125
v1,L,5537,514,800,1044,1228,125
v1,L,5056,1249,686,554,1060,125
v1,L,4921,780,608,1222,1237,125
v1,L,5445,819,557,1210,1017,125
v1,L,4745,1358,496,991,887,125
v1,L,5474,819,426,1183,1217,125
v1,L,4837,558,1240,1003,914,124
v1,L,4893,770,1203,1030,610,124
v1,L,5423,557,1048,941,972,124
v1,L,5188,981,1027,685,765,124
v1,L,4664,1053,1004,1084,545,124
v1,L,4717,951,943,885,951,124
v1,L,5067,1214,842,615,824,124
v1,L,4504,1384,819,528,969,124
v1,L,5413,769,658,1242,930,124
v1,L,4968,1163,641,1169,677,124
v1,L,5421,797,641,1041,1112,124
v1,L,5659,724,579,1016,1216,124
v1,L,5291,786,577,1098,1224,124
v1,L,5192,1149,500,963,997,124
v1,L,4640,1458,430,823,1059,124
v1,L,4819,1309,388,1234,836,124
v1,L,4963,1317,306,1247,859,124
v1,L,4267,471,1544,1120,761,123
v1,L,4344,338,1522,909,1157,123
v1,L,4293,1051,1437,577,616,123
v1,L,4335,770,1338,881,835,123
v1,L,5664,402,1287,564,1117,123
v1,L,4431,1261,1243,511,593,123
v1,L,5469,812,1125,718,702,123
v1,L,4764,770,1120,775,1048,123
v1,L,5435,980,896,504,1020,123
v1,L,4641,1341,868,808,618,123
v1,L,4807,1304,829,526,929,123
v1,L,4680,1201,765,950,804,123
v1,L,4889,1291,482,1044,887,123
v1,L,5311,1516,220,1223,559,123
v1,L,4832,261,1516,1149,806,122
v1,L,4513,1002,1412,559,638,122
v1,L,5532,390,1374,951,689,122
v1,L,5020,263,1340,1127,987,122
v1,L,5080,544,1280,967,803,122
v1,L,4261,973,1264,865,705,122
v1,L,4869,756,1242,684,937,122
v1,L,4658,958,1168,839,700,122
v1,L,5659,670,1073,703,907,122
v1,L,4777,1008,1041,555,1037,122
v1,L,4324,1154,1008,653,993,122
v1,L,4950,952,998,1125,527,122
v1,L,4838,1134,899,524,1062,122
v1,L,5751,870,883,771,780,122
v1,L,4419,1183,880,985,758,122
v1,L,4920,1125,870,624,977,122
v1,L,5418,1038,860,583,920,122
v1,L,5406,710,759,879,1243,122
v1,L,5676,588,652,1240,1080,122
v1,L,5732,1304,590,751,608,122
v1,L,4622,1577,583,736,772,122
v1,L,5217,1179,525,838,1037,122
v1,L,4957,1490,426,800,897,122
v1,L,4758,317,1431,913,1121,121
v1,L,4857,688,1370,761,783,121
v1,L,4646,1150,1352,508,502,121
v1,L,5380,534,1323,733,849,121
v1,L,4235,959,1225,792,868,121
v1,L,4747,846,1198,784,833,121
v1,L,4230,1012,1019,960,922,121
v1,L,4503,1372,960,674,648,121
v1,L,5078,1217,946,595,694,121
v1,L,4518,1004,945,896,965,121
v1,L,5333,1222,906,704,514,121
v1,L,5053,664,884,990,1189,121
v1,L,5249,630,875,1204,944,121
v1,L,5046,871,739,1121,973,121
v1,L,5045,1301,587,839,858,121
v1,L,5580,1420,375,1010,566,121
v1,L,4784,1394,229,1237,964,121
v1,L,4392,1289,1169,500,697,120
v1,L,5067,980,1053,953,530,120
v1,L,5290,654,960,1048,927,120
v1,L,5634,758,744,773,1198,120
v1,L,4387,1306,685,1109,758,120
v1,L,5697,1410,379,832,700,120
v1,L,5520,1119,366,1157,893,120
v1,L,4457,550,1575,898,747,119
v1,L,4479,643,1574,551,952,119
v1,L,4759,775,1533,661,578,119
v1,L,4869,645,1350,799,835,119
v1,L,4306,993,1305,522,947,119
v1,L,4936,1072,821,893,855,119
v1,L,5417,776,812,899,1056,119
v1,L,5667,873,737,925,879,119
v1,L,4346,1404,709,732,983,119
v1,L,5075,1318,700,708,795,119
v1,L,5622,824,695,1156,800,119
v1,L,5559,808,625,1182,927,119
v1,L,5361,857,586,1057,1132,119
v1,L,5336,1089,423,1077,1025,119
v1,L,4342,1122,1290,627,666,118
v1,L,4575,406,1244,1049,1221,118
v1,L,5555,672,1215,523,942,118
v1,L,5661,591,1213,905,628,118
v1,L,4443,1199,1153,781,549,118
v1,L,5409,873,1137,627,732,118
v1,L,5416,773,851,819,1088,118
v1,L,5582,1122,771,547,896,118
v1,L,4226,1438,355,1222,1010,118
v1,L,4446,1383,304,1232,1046,118
v1,L,4719,543,1575,867,669,117
v1,L,4515,705,1444,745,844,117
v1,L,4854,778,1362,771,669,117
v1,L,4730,850,1331,530,910,117
v1,L,5719,693,1255,606,696,117
v1,L,4960,763,1238,838,750,117
v1,L,4767,476,1190,928,1230,117
v1,L,4252,1364,1176,630,525,117
v1,L,5518,543,1145,924,846,117
v1,L,5466,1137,977,571,615,117
v1,L,4432,1527,814,523,831,117
v1,L,4455,1413,472,841,1153,117
v1,L,5011,1055,461,1105,1151,117
v1,L,4930,386,1521,588,1152,116
v1,L,5399,503,1511,857,507,116
v1,L,4618,1055,1210,649,727,116
v1,L,4897,1001,1163,858,530,116
v1,L,4767,1215,1112,540,677,116
v1,L,5472,639,1046,1124,674,116
v1,L,5008,985,962,752,893,116
v1,L,5395,656,940,1174,788,116
v1,L,5504,695,875,749,1199,116
v1,L,5739,535,863,1219,862,116
v1,L,5076,744,856,1163,945,116
v1,L,5049,1063,852,862,809,116
v1,L,5093,1200,591,872,956,116
v1,L,5529,1447,525,502,860,116
v1,L,4769,1192,442,1167,1039,116
v1,L,5301,1400,307,1078,771,116
v1,L,5605,1322,237,891,1024,116
v1,L,5282,556,1478,627,766,115
v1,L,4605,869,1477,673,597,115
v1,L,4621,862,1300,623,902,115
v1,L,4838,652,1243,1117,686,115
v1,L,5218,762,1199,963,565,115
v1,L,5105,912,1145,685,760,115
v1,L,4932,568,1000,1240,986,115
v1,L,4456,1055,999,562,1196,115
v1,L,4671,1486,861,604,633,115
v1,L,5273,1320,851,702,500,115
v1,L,4496,917,851,1194,954,115
v1,L,5346,777,837,980,983,115
v1,L,4958,678,745,1180,1240,115
v1,L,5678,583,688,1048,1247,115
v1,L,4806,888,676,1117,1175,115
v1,L,4497,1585,649,647,834,115
v1,L,5252,1080,630,886,985,115
v1,L,5427,1233,622,664,916,115
v1,L,4880,1107,443,1218,1058,115
v1,L,5304,270,1568,784,882,114
v1,L,4710,466,1448,1168,672,114
v1,L,4605,916,1432,757,513,114
v1,L,5231,599,1414,760,691,114
v1,L,4911,463,1312,1022,921,114
v1,L,4736,1020,1074,914,656,114
v1,L,5439,644,948,885,1068,114
v1,L,5479,656,781,939,1216,114
v1,L,5178,854,752,857,1200,114
v1,L,5232,1083,734,1169,561,114
v1,L,5093,816,710,1198,1014,114
v1,L,5337,1351,415,914,839,114
v1,L,5518,1583,258,909,650,114
v2,L,4399,551,1035,1007,1336,154
v2,L,5913,664,310,1210,1285,154
v2,L,5014,1462,295,567,1238,154
v2,L,4869,1161,302,1074,1220,154
v2,L,5004,308,1567,519,1122,154
v2,L,5178,717,708,1121,1081,154
v2,L,4545,976,902,798,1057,154
v2,L,4815,1530,346,811,919,154
v2,L,5015,763,844,1143,876,154
v2,L,5169,799,977,847,857,154
v2,L,5876,394,1295,727,765,154
v2,L,5310,1045,693,943,748,154
v2,L,4227,1049,1409,561,617,154
v2,L,4943,1072,988,822,584,154
v2,L,5737,1022,1015,527,534,154
v2,L,4878,375,1046,1036,1317,153
v2,L,4977,697,1049,615,1226,153
v2,L,4355,418,1073,1302,1200,153
v2,L,4878,1549,221,709,1145,153
v2,L,5889,677,434,1248,1066,153
v2,L,4997,1309,276,1006,1056,153
v2,L,4372,824,943,1306,794,153
v2,L,5313,439,1526,583,786,153
v2,L,5742,1045,646,834,722,153
v2,L,5766,495,1319,709,659,153
v2,L,5501,1230,469,1045,614,153
v2,L,5419,1518,314,924,584,153
v2,L,5175,1160,459,652,1279,152
v2,L,4572,938,623,1150,1151,152
v2,L,4466,445,1287,972,1136,152
v2,L,5253,397,1375,597,1078,152
v2,L,4622,466,1468,697,1048,152
v2,L,5863,689,828,721,1029,152
v2,L,4281,792,951,1298,882,152
v2,L,5446,1424,408,619,879,152
v2,L,4785,1284,579,900,869,152
v2,L,4996,1271,543,933,805,152
v2,L,4498,1573,387,967,799,152
v2,L,4291,594,1343,1142,756,152
v2,L,5610,1084,430,1138,736,152
v2,L,4251,1388,511,1240,732,152
v2,L,5799,767,981,743,707,152
v2,L,4452,1422,764,828,638,152
v2,L,5310,1346,769,580,578,152
v2,L,5098,553,957,806,1320,151
v2,L,5331,976,416,881,1303,151
v2,L,5260,626,669,1104,1253,151
v2,L,5243,890,514,1012,1197,151
v2,L,5211,702,999,637,1163,151
v2,L,5394,1097,566,645,1122,151
v2,L,4928,987,832,696,1070,151
v2,L,4580,600,1065,1103,1049,151
v2,L,5041,761,731,1132,1048,151
v2,L,4293,880,1382,537,899,151
v2,L,4448,853,1295,782,743,151
v2,L,5741,581,1307,619,661,151
v2,L,4287,787,1522,714,657,151
v2,L,4970,880,1167,791,629,151
v2,L,4877,1179,1042,628,588,151
v2,L,5218,1076,1096,540,584,151
v2,L,5889,1335,494,756,538,151
v2,L,5451,1227,633,951,507,151
v2,L,5406,1114,450,594,1312,150
v2,L,5068,1230,326,997,1081,150
v2,L,4492,1073,540,1247,1024,150
v2,L,5782,643,632,1149,991,150
v2,L,4424,1072,732,1048,982,150
v2,L,5310,999,775,794,858,150
v2,L,5371,738,833,1070,843,150
v2,L,5109,1067,718,963,768,150
v2,L,5292,1209,838,520,750,150
v2,L,4913,751,1176,891,731,150
v2,L,4386,824,1234,981,705,150
v2,L,4511,1559,685,684,676,150
v2,L,4598,1396,571,1114,601,150
v2,L,4731,752,1592,528,585,150
v2,L,5545,897,729,1176,575,150
v2,L,5581,758,952,1059,555,150
v2,L,5569,639,926,1314,513,150
v2,L,4940,836,656,949,1285,149
v2,L,5064,493,1040,891,1224,149
v2,L,4370,334,1549,732,1214,149
v2,L,5157,1275,489,649,1092,149
v2,L,4564,545,1464,664,1010,149
v2,L,4324,1022,966,858,960,149
v2,L,4281,1086,795,1127,864,149
v2,L,4478,1297,817,757,808,149
v2,L,4449,405,1583,974,784,149
v2,L,5037,707,1228,796,758,149
v2,L,4476,1427,893,517,754,149
v2,L,5181,906,882,1007,688,149
v2,L,4316,1474,1034,531,548,149
v2,L,4750,882,894,680,1241,148
v2,L,5684,879,223,1206,1233,148
v2,L,5408,1276,285,722,1193,148
v2,L,4675,280,1587,658,1168,148
v2,L,4610,725,1051,899,1088,148
v2,L,4700,1375,392,965,992,148
v2,L,5076,1531,489,511,906,148
v2,L,5275,390,1276,923,905,148
v2,L,4460,724,1348,763,873,148
v2,L,4855,607,1525,558,804,148
v2,L,5868,501,1241,667,770,148
v2,L,4650,1033,1182,694,647,148
v2,L,5523,1054,520,1196,646,148
v2,L,4452,1565,327,1316,581,148
v2,L,4608,1462,475,1214,545,148
v2,L,5429,839,1009,963,532,148
v2,L,5167,319,1135,981,1204,147
v2,L,5646,663,861,661,1196,147
v2,L,5139,1127,504,754,1192,147
v2,L,4501,961,972,639,1179,147
v2,L,4606,968,494,1314,1127,147
v2,L,5906,998,407,820,1083,147
v2,L,4890,688,831,1236,988,147
v2,L,5002,1021,830,891,805,147
v2,L,4292,611,1535,932,681,147
v2,L,5401,875,859,1081,593,147
